-2.860849857330322266e+00,-3.278729200363159180e+00,8.189495801925659180e-01,-1.283712591975927353e-02,-2.817773446440696716e-02,-3.940397799015045166e-01,9.185716509819030762e-01,-5.471562594175338745e-02,4.808024317026138306e-02,2.016098648309707642e-01,2.670241594314575195e-01,-1.815629303455352783e-01,2.362689562141895294e-02,-3.511078283190727234e-02,-2.546647749841213226e-02,-2.307049632072448730e-01,2.436871081590652466e-01,-2.480568438768386841e-01,-2.578363008797168732e-02,-9.319536387920379639e-02,6.970578338950872421e-03,1.869400739669799805e-01,2.519644498825073242e-01,1.047188043594360352e+00,8.605773448944091797e-01,3.325003683567047119e-01,3.957637548446655273e-01,2.926938533782958984e-01,5.002310276031494141e-01,1.534155756235122681e-01,-1.113205194473266602e+00,-7.304203510284423828e-01,4.661251008510589600e-01,-2.672545313835144043e-01,9.665142744779586792e-02,-4.135746955871582031e-01
-2.860968828201293945e+00,-3.278923034667968750e+00,8.184855580329895020e-01,-1.404863316565752029e-02,-3.272488340735435486e-02,-4.130786359310150146e-01,9.099987745285034180e-01,-4.546010866761207581e-02,6.299074739217758179e-02,2.432682216167449951e-01,2.942363917827606201e-01,-2.110194414854049683e-01,1.772627420723438263e-02,-5.038137733936309814e-02,-1.712343469262123108e-02,-1.870455145835876465e-01,2.831715643405914307e-01,-2.686308622360229492e-01,-2.912341989576816559e-02,-6.747302412986755371e-02,-8.379312930628657341e-04,2.005533874034881592e-01,2.715840637683868408e-01,1.045833706855773926e+00,8.858052492141723633e-01,3.339634239673614502e-01,3.982561230659484863e-01,3.009801506996154785e-01,5.197026133537292480e-01,1.270150691270828247e-01,-1.110745072364807129e+00,-7.062532305717468262e-01,4.876972138881683350e-01,-2.705957591533660889e-01,6.755932420492172241e-02,-4.385625720024108887e-01
-2.861271858215332031e+00,-3.279565334320068359e+00,8.183292150497436523e-01,-1.371811795979738235e-02,-3.415740281343460083e-02,-4.209572970867156982e-01,9.063332676887512207e-01,-4.147353768348693848e-02,6.873854994773864746e-02,2.615838050842285156e-01,3.025607764720916748e-01,-2.204679548740386963e-01,1.480934116989374161e-02,-5.827716365456581116e-02,-1.346333418041467667e-02,-1.681161373853683472e-01,2.997465431690216064e-01,-2.760253846645355225e-01,-3.135641664266586304e-02,-4.651408270001411438e-02,-2.136946190148591995e-03,2.040852159261703491e-01,2.717946171760559082e-01,1.046336054801940918e+00,8.830520510673522949e-01,3.349536657333374023e-01,3.966475725173950195e-01,3.026460707187652588e-01,5.246581435203552246e-01,1.308263391256332397e-01,-1.106939792633056641e+00,-7.098651528358459473e-01,4.966411888599395752e-01,-2.700041532516479492e-01,5.504010245203971863e-02,-4.445314109325408936e-01
-2.861559152603149414e+00,-3.280215024948120117e+00,8.182837963104248047e-01,-1.322470977902412415e-02,-3.438915312290191650e-02,-4.239369630813598633e-01,9.049419760704040527e-01,-4.035468772053718567e-02,7.117290794849395752e-02,2.690637409687042236e-01,3.050929605960845947e-01,-2.233860641717910767e-01,1.304932404309511185e-02,-6.220881268382072449e-02,-1.168429292738437653e-02,-1.604560613632202148e-01,3.064253926277160645e-01,-2.789642810821533203e-01,-3.291160985827445984e-02,-3.634105250239372253e-02,-2.498963614925742149e-03,2.049913704395294189e-01,2.717608809471130371e-01,1.046545624732971191e+00,8.813829421997070312e-01,3.355805873870849609e-01,3.938310146331787109e-01,3.015696406364440918e-01,5.265560150146484375e-01,1.353132128715515137e-01,-1.104230642318725586e+00,-7.141451239585876465e-01,5.004792213439941406e-01,-2.663557231426239014e-01,5.094540864229202271e-02,-4.452677369117736816e-01
-2.861772298812866211e+00,-3.280843734741210938e+00,8.182913064956665039e-01,-1.282207574695348740e-02,-3.422394022345542908e-02,-4.246230423450469971e-01,9.046323299407958984e-01,-4.051975533366203308e-02,7.227656990289688110e-02,2.713429033756256104e-01,3.059870004653930664e-01,-2.241804599761962891e-01,1.186449825763702393e-02,-6.390748172998428345e-02,-1.087490189820528030e-02,-1.582566797733306885e-01,3.088892698287963867e-01,-2.802981138229370117e-01,-3.403056040406227112e-02,-3.156215697526931763e-02,-2.247914904728531837e-03,2.051114737987518311e-01,2.718812823295593262e-01,1.046486020088195801e+00,8.809090852737426758e-01,3.363874256610870361e-01,3.931110501289367676e-01,3.007210195064544678e-01,5.273441672325134277e-01,1.388960331678390503e-01,-1.102177977561950684e+00,-7.182678580284118652e-01,5.016410946846008301e-01,-2.626822590827941895e-01,5.165736749768257141e-02,-4.461177587509155273e-01
-2.861940145492553711e+00,-3.281443357467651367e+00,8.183256983757019043e-01,-1.254213694483041763e-02,-3.394708409905433655e-02,-4.242374897003173828e-01,9.048275351524353027e-01,-4.122593998908996582e-02,7.285176962614059448e-02,2.711369097232818604e-01,3.064618408679962158e-01,-2.242666929960250854e-01,1.095272600650787354e-02,-6.434939801692962646e-02,-1.052594557404518127e-02,-1.587692648172378540e-01,3.094141483306884766e-01,-2.809413969516754150e-01,-3.489931300282478333e-02,-2.927497401833534241e-02,-1.592401065863668919e-03,2.050816714763641357e-01,2.718926966190338135e-01,1.046397209167480469e+00,8.807318210601806641e-01,3.373598158359527588e-01,3.932718932628631592e-01,3.008997440338134766e-01,5.281271934509277344e-01,1.411924660205841064e-01,-1.100758075714111328e+00,-7.221648693084716797e-01,5.012964010238647461e-01,-2.619560956954956055e-01,5.359564721584320068e-02,-4.466644823551177979e-01
-2.862066745758056641e+00,-3.282025098800659180e+00,8.183809518814086914e-01,-1.236531231552362442e-02,-3.365372493863105774e-02,-4.233362972736358643e-01,9.052628874778747559e-01,-4.207185655832290649e-02,7.319904863834381104e-02,2.697159945964813232e-01,3.067652583122253418e-01,-2.240884900093078613e-01,1.015888713300228119e-02,-6.399109959602355957e-02,-1.036290731281042099e-02,-1.605955362319946289e-01,3.088738918304443359e-01,-2.812196612358093262e-01,-3.562650084495544434e-02,-2.795251272618770599e-02,-6.872407975606620312e-04,2.050075978040695190e-01,2.718457877635955811e-01,1.046444296836853027e+00,8.806865215301513672e-01,3.383337557315826416e-01,3.951814174652099609e-01,3.012534081935882568e-01,5.282506346702575684e-01,1.426592916250228882e-01,-1.099873542785644531e+00,-7.252624034881591797e-01,5.002095103263854980e-01,-2.632052004337310791e-01,5.493134632706642151e-02,-4.473872780799865723e-01
-2.862159490585327148e+00,-3.282585620880126953e+00,8.184424638748168945e-01,-1.226436160504817963e-02,-3.338899835944175720e-02,-4.222132563591003418e-01,9.057983756065368652e-01,-4.286308959126472473e-02,7.343291491270065308e-02,2.677290141582489014e-01,3.070199191570281982e-01,-2.238200902938842773e-01,9.471708908677101135e-03,-6.315273046493530273e-02,-1.028462406247854233e-02,-1.630238741636276245e-01,3.078183233737945557e-01,-2.813512384891510010e-01,-3.626174107193946838e-02,-2.693419903516769409e-02,3.218869969714432955e-04,2.049517035484313965e-01,2.716319262981414795e-01,1.046722173690795898e+00,8.806342482566833496e-01,3.391981422901153564e-01,3.985801339149475098e-01,3.008218407630920410e-01,5.274848341941833496e-01,1.434669792652130127e-01,-1.099230885505676270e+00,-7.276743650436401367e-01,4.990510046482086182e-01,-2.656402289867401123e-01,5.526996403932571411e-02,-4.485265910625457764e-01
-2.862217187881469727e+00,-3.283126831054687500e+00,8.184899091720581055e-01,-1.220938190817832947e-02,-3.318500891327857971e-02,-4.210079312324523926e-01,9.063674807548522949e-01,-4.352406784892082214e-02,7.356631755828857422e-02,2.655127048492431641e-01,3.072629570960998535e-01,-2.235784381628036499e-01,8.850712329149246216e-03,-6.209017708897590637e-02,-1.030517555773258209e-02,-1.656973361968994141e-01,3.067521750926971436e-01,-2.815218865871429443e-01,-3.682163730263710022e-02,-2.595304325222969055e-02,1.304066856391727924e-03,2.049591243267059326e-01,2.713558375835418701e-01,1.047219157218933105e+00,8.807089328765869141e-01,3.398527503013610840e-01,4.023693203926086426e-01,2.991992533206939697e-01,5.256912708282470703e-01,1.439362764358520508e-01,-1.098679304122924805e+00,-7.298153638839721680e-01,4.978528022766113281e-01,-2.673866450786590576e-01,5.406056344509124756e-02,-4.494636058807373047e-01
-2.862240791320800781e+00,-3.283648729324340820e+00,8.185116052627563477e-01,-1.216925587505102158e-02,-3.306020423769950867e-02,-4.197835624217987061e-01,9.069402813911437988e-01,-4.403152689337730408e-02,7.356171309947967529e-02,2.632174491882324219e-01,3.074934482574462891e-01,-2.234205454587936401e-01,8.295514620840549469e-03,-6.098866462707519531e-02,-1.044866349548101425e-02,-1.683437973260879517e-01,3.060287535190582275e-01,-2.819088995456695557e-01,-3.731901571154594421e-02,-2.488485723733901978e-02,2.181900665163993835e-03,2.050238549709320068e-01,2.713623642921447754e-01,1.047850966453552246e+00,8.809749484062194824e-01,3.399948775768280029e-01,4.046983420848846436e-01,2.972353100776672363e-01,5.234167575836181641e-01,1.442141681909561157e-01,-1.098173856735229492e+00,-7.315933108329772949e-01,4.966468214988708496e-01,-2.679253220558166504e-01,5.138139054179191589e-02,-4.501135051250457764e-01
